ID,Date and Time (UTC),Longitude (°E),Latitude (°S),Deployed from,Ship speed (kn),Height above sea level (m),Deployers
66615940,4/18/19 17:42,29.9962,66.0008,Port stern,1,3,Loicka Baille and Giuliana Viglione
66615920,4/19/19 19:40,29.9973,64.0003,Port stern,3,3,Daniela Faggiani-Dias and Isa Rosso
66615970,4/20/19 23:36,29.998,61.9996,Port stern,3,3,Kay McMonigal and Croy Carlin
66338770,4/22/19 6:54,30.0128,60.0159,Port stern,3,3,Daniela Faggiani-Dias and Maximilian Kotz
66615930,4/22/19 6:54,30.0126,60.016,Port stern,3,3,Daniela Faggiani-Dias and Maximilian Kotz
66339760,4/23/19 13:44,30,58,Port stern,1.5,3,Giuliana Viglione and Croy Carlin
66338830,4/28/19 15:40,30,54.99,Port stern,3,3,Kay McMonigal and Croy Carlin
66339780,0429/2019 19:25,30.0013,52.999,Port stern,1.2,3,Kay McMonigal and Croy Carlin
66337840,5/4/19 23:42,29.1918,49.187,Port stern,12,3,Isa Rosso and Croy Carlin
66616940,5/5/19 23:05,29.0417,45.1769,Port stern,10.5,3,Isa Rosso and Croy Carlin
66338790,5/6/19 11:05,28.5789,43.0193,Port stern,12,3,Isa Rosso and Croy Carlin
66338810,5/7/19 2:24,27.5775,40.032,Port stern,11.4,3,Daniela Faggiani-Dias and Michael Kovatch
66338990,5/7/19 13:38,26.9881,38.0151,Port stern,12.9,3,Croy Carlin
66616830,5/8/19 0:00,26.3272,36.0271,Port stern,12,3,Isa Rosso and Jennifer Nomura
66616920,5/9/19 3:00,28.0963,33.2332,Starboard stern,4,3,Daniela Faggiani-Dias and Jennifer Nomura
66616950,5/9/19 17:58,28.87,34.66,Port stern,11.4,3,Croy Carlin and Benjamin Mushi